"","count","n","col4","col3","col2","col1","output"
"430",76,5,"i","can't","wait","for","the"
"431",76,5,"i","donâ","t","have","a"
"432",76,5,"is","just","around","the","corner"
"433",76,5,"of","the","rest","of","the"
"434",76,5,"thank","you","for","all","the"
"435",76,5,"thank","you","for","your","support"
"436",76,5,"you","will","be","able","to"
"437",75,5,"as","one","of","the","most"
"438",75,5,"so","there","you","have","it"
"439",75,5,"spoke","on","condition","of","anonymity"
"440",75,5,"to","the","front","of","the"
"441",75,5,"we","are","looking","forward","to"
"442",74,5,"all","i","can","do","is"
"443",74,5,"cholesterol","mg","sodium","g","fiber"
"444",74,5,"hope","you","have","a","good"
"445",74,5,"i","have","no","idea","how"
"446",74,5,"in","such","a","way","that"
"447",74,5,"thank","you","for","the","ff"
"448",74,5,"up","in","the","middle","of"
"449",74,5,"was","a","lot","of","fun"
"450",74,5,"we're","going","to","have","to"
"451",74,5,"wish","i","could","be","there"
"452",73,5,"a","smile","on","my","face"
"453",73,5,"hope","you","all","had","a"
"454",73,5,"i","woke","up","this","morning"
"455",73,5,"in","the","first","half","of"
"456",73,5,"it","was","a","lot","of"
"457",73,5,"the","last","couple","of","years"
"458",73,5,"the","rest","of","the","way"
"459",72,5,"at","the","center","of","the"
"460",72,5,"at","the","heart","of","the"
"461",72,5,"cake","cake","cake","cake","cake"
"462",72,5,"get","real","rewards","just","for"
"463",72,5,"hundreds","of","millions","of","dollars"
"464",72,5,"it","was","one","of","those"
"465",72,5,"know","if","you","have","any"
"466",72,5,"real","rewards","just","for","watching"
"467",72,5,"rewards","just","for","watching","tv"
"468",72,5,"the","rest","of","the","country"
"469",72,5,"what","are","you","up","to"
"470",71,5,"and","i","was","able","to"
"471",71,5,"declined","to","comment","on","the"
"472",71,5,"for","a","couple","of","days"
"473",71,5,"for","more","than","a","decade"
"474",71,5,"for","the","first","time","and"
"475",71,5,"girl","with","the","dragon","tattoo"
"476",71,5,"has","been","one","of","the"
"477",71,5,"hope","to","see","you","soon"
"478",71,5,"i","am","so","excited","to"
"479",71,5,"i","don't","know","about","you"
"480",71,5,"i","just","want","to","be"
"481",71,5,"i","would","like","to","thank"
"482",71,5,"one","day","at","a","time"
"483",71,5,"one","of","my","favorite","things"
"484",71,5,"one","of","the","most","popular"
"485",71,5,"serving","calories","g","protein","g"
"486",71,5,"thank","you","to","all","of"
"487",71,5,"university","of","chicago","chicago","illinois"
"488",70,5,"but","for","the","most","part"
"489",70,5,"but","i","donâ","t","think"
"490",70,5,"hope","all","is","well","with"
"491",70,5,"how","do","you","feel","about"
"492",70,5,"i","canâ","t","help","but"
"493",70,5,"i","don't","even","know","what"
"494",70,5,"i","was","able","to","get"
"495",70,5,"in","the","next","few","weeks"
"496",70,5,"me","know","if","you","need"
"497",70,5,"mg","cholesterol","mg","sodium","g"
"498",70,5,"new","york","and","new","jersey"
"499",70,5,"on","the","day","of","the"
"500",70,5,"to","all","my","new","followers"
"501",70,5,"to","see","you","at","the"
"502",70,5,"until","the","end","of","the"
"503",70,5,"way","to","start","the","day"
"504",69,5,"are","going","to","have","to"
"505",69,5,"at","a","time","when","the"
"506",69,5,"hundreds","of","thousands","of","dollars"
"507",69,5,"i","know","a","lot","of"
"508",69,5,"if","you","are","in","the"
"509",69,5,"off","to","a","great","start"
"510",69,5,"thank","you","for","the","mention"
"511",69,5,"the","end","of","this","year"
"512",68,5,"across","the","street","from","the"
"513",68,5,"can","you","please","follow","me"
"514",68,5,"centers","for","disease","control","and"
"515",68,5,"it","would","be","fun","to"
"516",68,5,"not","a","big","fan","of"
"517",68,5,"off","to","a","good","start"
"518",68,5,"season","with","salt","and","pepper"
"519",68,5,"those","of","you","who","are"
"520",68,5,"wonâ","t","be","able","to"
"521",67,5,"at","the","back","of","the"
"522",67,5,"for","a","long","time","and"
"523",67,5,"for","more","than","a","year"
"524",67,5,"i","am","so","proud","of"
"525",67,5,"i","was","lucky","enough","to"
"526",67,5,"in","a","couple","of","weeks"
"527",67,5,"in","the","next","couple","of"
"528",67,5,"in","the","st","louis","area"
"529",67,5,"now","is","the","time","to"
"530",67,5,"per","serving","calories","g","protein"
"531",67,5,"thanks","for","the","follow","back"
"532",67,5,"the","rest","of","the","night"
"533",67,5,"to","take","advantage","of","the"
"534",67,5,"wake","up","in","the","morning"
"535",67,5,"would","mean","the","world","to"
"536",67,5,"you","have","no","idea","how"
"537",66,5,"all","at","the","same","time"
"538",66,5,"april","in","the","block","of"
"539",66,5,"don't","want","to","go","to"
"540",66,5,"i","was","the","only","one"
"541",66,5,"i","wish","i","could","be"
"542",66,5,"if","you","don't","want","to"
"543",66,5,"in","the","last","few","years"
"544",66,5,"on","the","new","york","stock"
"545",66,5,"on","the","part","of","the"
"546",66,5,"the","beginning","of","the","year"
"547",66,5,"to","get","rid","of","the"
"548",66,5,"to","make","it","to","the"
"549",66,5,"was","supposed","to","be","a"
"550",66,5,"will","be","interesting","to","see"
"551",66,5,"would","love","to","have","you"
"552",66,5,"would","love","to","see","you"
"553",65,5,"a","great","time","at","the"
"554",65,5,"and","i","can't","wait","to"
"555",65,5,"as","soon@i","get",NA,NA
"556",65,5,"don't","have","to","worry","about"
"557",65,5,"don't","know","about","you","but"
"558",65,5,"had","something","to","do","with"
"559",65,5,"hope","you","have","a","wonderful"
"560",65,5,"i","don't","want","to","go"
"561",65,5,"i","haven't","been","able","to"
"562",65,5,"in","the","new","york","times"
"563",65,5,"in","the","past","two","years"
"564",65,5,"on","the","first","day","of"
"565",65,5,"so","much","for","the","follow"
"566",65,5,"this","is","one","of","my"
"567",65,5,"this","was","the","first","time"
"568",65,5,"thought","i","was","going","to"
"569",65,5,"to","get","out","of","bed"
"570",65,5,"what","i","want","to","do"
"571",64,5,"a","lot","of","people","are"
"572",64,5,"and","at","the","end","of"
"573",64,5,"for","those","of","us","who"
"574",64,5,"have","not","been","able","to"
"575",64,5,"if","you","want","to","know"
"576",64,5,"in","the","hands","of","the"
"577",64,5,"is","not","going","to","be"
"578",64,5,"john","smithâ","s","grand","national"
"579",64,5,"one","of","the","reasons","i"
"580",64,5,"salt","and","pepper","to","taste"
"581",64,5,"step","in","the","right","direction"
"582",64,5,"to","keep","up","with","the"
"583",64,5,"want","to","go","to","the"
"584",64,5,"we","hope","to","see","you"
"585",64,5,"we","look","forward","to","seeing"
"586",64,5,"will","you","please","follow","me"
"587",63,5,"and","i","look","forward","to"
"588",63,5,"for","a","couple","of","years"
"589",63,5,"from","the","rest","of","the"
"590",63,5,"i","have","no","idea","why"
"591",63,5,"i","was","going","to","do"
"592",63,5,"in","item","b","above","pp"
"593",63,5,"is","going","to","have","to"
"594",63,5,"most","of","the","time","i"
"595",63,5,"over","and","over","and","over"
"596",63,5,"t","know","what","to","do"
"597",63,5,"the","home","was","sold","by"
"598",63,5,"too","good","to","be","true"
"599",63,5,"we","are","going","to","be"
"600",63,5,"we","can't","wait","to","see"
"601",63,5,"what","did","you","think","of"
"602",63,5,"what","do","you","want","to"
"603",63,5,"you","know","what","that","means"
"604",63,5,"you","know","who","you","are"
"605",62,5,"as","soon@i","can",NA,NA
"606",62,5,"donâ","t","know","how","to"
"607",62,5,"for","disease","control","and","prevention"
"608",62,5,"for","the","rest","of","your"
"609",62,5,"for","your","chance","to","win"
"610",62,5,"i","hope","you","had","a"
"611",62,5,"in","the","first","quarter","of"
"612",62,5,"more","than","percent","of","the"
"613",62,5,"near","the","end","of","the"
"614",62,5,"thanks","to","all","who","came"
"615",62,5,"the","rest","of","his","life"
"616",62,5,"to","learn","more","about","the"
"617",62,5,"â","œi","donâ","t","think"
"618",61,5,"all","is","well","with","you"
"619",61,5,"don't","get","me","wrong","i"
"620",61,5,"everyone","who","came","out","to"
"621",61,5,"everything","happens","for","a","reason"
"622",61,5,"for","taking","the","time","to"
"623",61,5,"for","the","second","time","in"
"624",61,5,"i","don't","know","why","i"
"625",61,5,"it's","been","a","while","since"
"626",61,5,"it","has","nothing","to","do"
"627",61,5,"it","was","great","to","see"
"628",61,5,"it","would","be","a","good"
"629",61,5,"iâ","m","not","sure","if"
"630",61,5,"of","my","all","time","favorite"
"631",61,5,"said","in","an","e","mail"
"632",61,5,"so","much","for","the","rt"
"633",61,5,"somebody","that","i","used","to"
"634",61,5,"tens","of","millions","of","dollars"
"635",61,5,"the","end","of","the","game"
"636",61,5,"what","are","you","doing","to"
"637",61,5,"while","at","the","same","time"
"638",60,5,"a","lot","of","people","who"
"639",60,5,"at","the","front","of","the"
"640",60,5,"at","the","height","of","the"
"641",60,5,"been","a","long","time","since"
"642",60,5,"can","i","get","a","follow"
"643",60,5,"hope","you","had","a","good"
"644",60,5,"i","look","forward","to","seeing"
"645",60,5,"it","was","so","much","fun"
"646",60,5,"me","know","if","you","have"
"647",60,5,"president","and","chief","executive","officer"
"648",60,5,"that","i","used","to","know"
"649",60,5,"there","is","no","way","to"
"650",60,5,"what","it","would","be","like"
"651",59,5,"a","lot","to","do","with"
"652",59,5,"a","mi","run","with","a"
"653",59,5,"all","i","have","to","say"
"654",59,5,"anyone","with","information","about","the"
"655",59,5,"be","a","part","of","this"
"656",59,5,"hunter","matt","hunter","matt","hunter"
"657",59,5,"i","feel","like","i","am"
"658",59,5,"i","have","to","tell","you"
"659",59,5,"i","know","what","you","mean"
"660",59,5,"i","would","love","to","hear"
"661",59,5,"it","has","to","do","with"
"662",59,5,"need","to","be","able","to"
"663",59,5,"the","right","side","of","the"
"664",59,5,"the","second","round","of","the"
"665",59,5,"to","give","it","a","try"
"666",59,5,"what","would","you","like","to"
"667",58,5,"and","i","are","going","to"
"668",58,5,"at","this","time","of","year"
"669",58,5,"but","i","don't","want","to"
"670",58,5,"but","if","you","want","to"
"671",58,5,"defensive","player","of","the","year"
"672",58,5,"figure","out","a","way","to"
"673",58,5,"first","thing","in","the","morning"
"674",58,5,"have","to","be","able","to"
"675",58,5,"i","don't","think","i","can"
"676",58,5,"i","have","a","hard","time"
"677",58,5,"i","knew","i","had","to"
"678",58,5,"i","want","it","to","be"
"679",58,5,"more","than","half","of","the"
