"","count","n","col1","output"
"807",2953,2,"don't","think"
"808",2950,2,"and","it's"
"809",2950,2,"do","with"
"810",2950,2,"the","man"
"811",2948,2,"made","it"
"812",2947,2,"until","the"
"813",2946,2,"all","i"
"814",2942,2,"when","she"
"815",2936,2,"take","the"
"816",2931,2,"for","those"
"817",2931,2,"it's","the"
"818",2928,2,"with","that"
"819",2927,2,"all","day"
"820",2923,2,"much","more"
"821",2919,2,"to","create"
"822",2917,2,"amount","of"
"823",2915,2,"back","and"
"824",2915,2,"listen","to"
"825",2915,2,"to","show"
"826",2912,2,"what","do"
"827",2907,2,"can","i"
"828",2906,2,"any","of"
"829",2906,2,"find","a"
"830",2904,2,"with","their"
"831",2903,2,"the","school"
"832",2896,2,"good","luck"
"833",2894,2,"while","the"
"834",2889,2,"only","one"
"835",2888,2,"to","bring"
"836",2886,2,"or","not"
"837",2885,2,"the","third"
"838",2881,2,"close","to"
"839",2871,2,"much","as"
"840",2869,2,"of","time"
"841",2867,2,"to","that"
"842",2864,2,"and","has"
"843",2864,2,"has","the"
"844",2864,2,"los","angeles"
"845",2863,2,"all","over"
"846",2863,2,"i","made"
"847",2862,2,"with","some"
"848",2860,2,"your","own"
"849",2855,2,"s","not"
"850",2851,2,"at","my"
"851",2849,2,"in","to"
"852",2848,2,"the","kids"
"853",2843,2,"to","learn"
"854",2842,2,"to","write"
"855",2837,2,"how","the"
"856",2836,2,"about","this"
"857",2834,2,"the","great"
"858",2831,2,"on","her"
"859",2831,2,"wait","for"
"860",2830,2,"two","years"
"861",2815,2,"here","in"
"862",2815,2,"interested","in"
"863",2811,2,"day","to"
"864",2810,2,"about","how"
"865",2809,2,"life","is"
"866",2803,2,"with","all"
"867",2798,2,"expected","to"
"868",2796,2,"and","even"
"869",2795,2,"but","if"
"870",2792,2,"she","had"
"871",2791,2,"in","all"
"872",2789,2,"how","i"
"873",2783,2,"what","he"
"874",2782,2,"it","with"
"875",2776,2,"and","when"
"876",2775,2,"but","i'm"
"877",2775,2,"is","this"
"878",2771,2,"of","me"
"879",2768,2,"and","one"
"880",2764,2,"isnâ","t"
"881",2763,2,"my","new"
"882",2762,2,"a","large"
"883",2757,2,"just","as"
"884",2755,2,"got","the"
"885",2755,2,"it","seems"
"886",2751,2,"out","on"
"887",2747,2,"know","the"
"888",2746,2,"â","he"
"889",2741,2,"the","entire"
"890",2738,2,"i'm","so"
"891",2737,2,"to","move"
"892",2736,2,"which","was"
"893",2732,2,"next","year"
"894",2728,2,"the","morning"
"895",2727,2,"he","will"
"896",2727,2,"you","just"
"897",2718,2,"excited","to"
"898",2718,2,"me","in"
"899",2711,2,"them","in"
"900",2704,2,"that","one"
"901",2703,2,"and","an"
"902",2684,2,"no","matter"
"903",2683,2,"know","i"
"904",2682,2,"â","i"
"905",2677,2,"here","is"
"906",2674,2,"for","them"
"907",2674,2,"look","like"
"908",2669,2,"in","some"
"909",2664,2,"iâ","d"
"910",2661,2,"an","hour"
"911",2656,2,"which","i"
"912",2655,2,"as","if"
"913",2655,2,"i","always"
"914",2653,2,"he","says"
"915",2653,2,"you","would"
"916",2652,2,"to","him"
"917",2652,2,"to","leave"
"918",2651,2,"would","not"
"919",2650,2,"order","to"
"920",2648,2,"what","to"
"921",2646,2,"i","haven't"
"922",2641,2,"people","in"
"923",2640,2,"sense","of"
"924",2635,2,"came","to"
"925",2629,2,"the","good"
"926",2626,2,"a","month"
"927",2620,2,"director","of"
"928",2618,2,"a","second"
"929",2614,2,"t","have"
"930",2613,2,"in","it"
"931",2613,2,"lack","of"
"932",2612,2,"can","see"
"933",2612,2,"s","the"
"934",2611,2,"good","to"
"935",2611,2,"to","change"
"936",2609,2,"see","what"
"937",2608,2,"among","the"
"938",2608,2,"just","like"
"939",2608,2,"this","season"
"940",2605,2,"â","a"
"941",2604,2,"so","you"
"942",2600,2,"but","in"
"943",2597,2,"day","and"
"944",2596,2,"iâ","ll"
"945",2590,2,"not","going"
"946",2588,2,"are","all"
"947",2582,2,"next","to"
