"","count","n","col3","col2","col1","output"
"726",177,4,"a","great","place","to"
"727",177,4,"as","long@the",NA,NA
"728",177,4,"on","behalf","of","the"
"729",176,4,"at","the","expense","of"
"730",176,4,"be","reached","for","comment"
"731",176,4,"could","not","be","reached"
"732",176,4,"i'm","going","to","have"
"733",176,4,"in","the","center","of"
"734",176,4,"itâ","s","time","to"
"735",176,4,"that","i","need","to"
"736",176,4,"the","quality","of","the"
"737",176,4,"time","for","me","to"
"738",176,4,"would","be","a","great"
"739",176,4,"you","for","the","rt"
"740",175,4,"all","i","can","say"
"741",175,4,"been","a","long","time"
"742",175,4,"believe","it","or","not"
"743",175,4,"did","a","great","job"
"744",175,4,"has","to","do","with"
"745",175,4,"sure","to","check","out"
"746",175,4,"to","see","you","at"
"747",175,4,"we","need","to","get"
"748",174,4,"a","couple","of","times"
"749",174,4,"across","the","street","from"
"750",174,4,"iâ","m","not","going"
"751",174,4,"want","it","to","be"
"752",173,4,"i'll","let","you","know"
"753",173,4,"in","the","second","quarter"
"754",173,4,"the","last","two","years"
"755",173,4,"there","would","be","no"
"756",173,4,"told","the","associated","press"
"757",173,4,"what","i","want","to"
"758",172,4,"a","year","old","man"
"759",172,4,"and","some","of","the"
"760",172,4,"but","you","have","to"
"761",172,4,"do","i","have","to"
"762",172,4,"once","upon","a","time"
"763",172,4,"stuck","in","my","head"
"764",172,4,"the","first","round","of"
"765",172,4,"up","and","down","the"
"766",171,4,"i","used","to","be"
"767",171,4,"there","are","lots","of"
"768",171,4,"to","be","at","the"
"769",171,4,"to","hang","out","with"
"770",171,4,"to","make","up","for"
"771",170,4,"are","going","to","have"
"772",170,4,"for","the","heads","up"
"773",170,4,"good","to","see","you"
"774",170,4,"i","love","it","when"
"775",170,4,"if","you","are","not"
"776",170,4,"in","a","large","bowl"
"777",170,4,"in","a","series","of"
"778",170,4,"m","not","going","to"
"779",170,4,"of","the","most","important"
"780",170,4,"on","one","of","the"
"781",170,4,"the","fact","that","he"
"782",170,4,"the","next","few","weeks"
"783",170,4,"want","to","know","what"
"784",169,4,"a","good","time","to"
